Date,Open,High,Low,Close,% Change IBEX
15/09/2008,11031.40039,11557.90039,10571.09961,11557.90039,1.28
22/09/2008,11596.09961,11599.29981,11088.7002,11387.90039,-1.47
29/09/2008,11395.90039,11441.5,10672.59961,11418.5,0.27
06/10/2008,11210.2002,11214.5,8835,8997.700195,-21.20
13/10/2008,9559.299805,10573.09961,9146.599609,9655.200195,7.31
20/10/2008,9900.700195,10105.09961,7991.899902,8353.200195,-13.48
27/10/2008,7977,9137.700195,7737.200195,9116,9.13
03/11/2008,9185.799805,9883.799805,8977.400391,9343.5,2.50
10/11/2008,9484.299805,9525.799805,8525.900391,8832.200195,-5.47
17/11/2008,8788.599609,8827.200195,7830.899902,7974.399902,-9.71
24/11/2008,8173.700195,8920.5,8093.200195,8910.599609,11.74
01/12/2008,8914,9113.200195,8293.200195,8491.200195,-4.71
08/12/2008,8893.5,9249.400391,8711,8975.5,5.70
15/12/2008,8994.299805,9332.900391,8930,9268.400391,3.26
22/12/2008,9232.299805,9234.599609,9040.799805,9068.5,-2.16
29/12/2008,9081,9486.299805,8955.299805,9486.299805,4.61
05/01/2009,9543.400391,9800,9309.5,9378.5,-1.14
12/01/2009,9329.5,9350.599609,8500.400391,8620.099609,-8.09
19/01/2009,8739.099609,8788.299805,7981.700195,8172.799805,-5.19
26/01/2009,8106.5,8733.299805,8091.5,8450.400391,3.40
02/02/2009,8275.400391,8608.700195,8118.299805,8544.700195,1.12
09/02/2009,8495,8653.799805,8116.600098,8265.5,-3.27
16/02/2009,8206,8228.900391,7601.799805,7603.600098,-8.01
23/02/2009,7729.100098,7862,7385,7620.899902,0.23
02/03/2009,7428.600098,7464.299805,6883.299805,6936.899902,-8.98
09/03/2009,6965.399902,7543.200195,6702.600098,7427.799805,7.08
16/03/2009,7546.600098,7845.600098,7527.200195,7710,3.80
23/03/2009,7838.5,8121.700195,7783.299805,7927.600098,2.82
30/03/2009,7782.200195,8410.700195,7589.100098,8319.900391,4.95
06/04/2009,8435,8714,8175.100098,8704.799805,4.63
