Date,Open,High,Low,Close,% Change HS
19/03/2012,21454.00977,21454.00977,20596.89063,20668.80078,-3.04
26/03/2012,20672.36914,21063.38086,20374.0293,20555.58008,-0.55
02/04/2012,20662.9707,20816.08984,20404.15039,20593,0.18
09/04/2012,20387.42969,20719.03906,20035.67969,20701.03906,0.52
16/04/2012,20516.08984,21076.42969,20392.57031,21010.64063,1.50
23/04/2012,20970.96094,20970.96094,20534.13086,20741.44922,-1.28
30/04/2012,20889.76953,21385.30078,20889.76953,21086,1.66
07/05/2012,20658.41016,20674.44922,19901.41016,19964.63086,-5.32
14/05/2012,20037.51953,20044.68945,18622.31055,18951.84961,-5.07
21/05/2012,18902,19182.66016,18577.08984,18713.41016,-1.26
28/05/2012,18672.32031,19058.4707,18378.14063,18558.33984,-0.83
04/06/2012,18249.60938,18845.57031,18056.40039,18502.33984,-0.30
11/06/2012,18978.88086,19254.56055,18708.25977,19233.93945,3.95
18/06/2012,19578.13086,19578.82031,18976.05078,18995.13086,-1.24
25/06/2012,19019.0293,19510.76953,18850.4707,19441.46094,2.35
02/07/2012,19441.46094,19869.10938,19441.46094,19800.64063,1.85
09/07/2012,19634.83984,19737.91992,18998.30078,19092.63086,-3.58
16/07/2012,19265.33984,19656.10938,19061.66992,19640.80078,2.87
23/07/2012,19259.35938,19330.68945,18710.58984,19274.96094,-1.86
30/07/2012,19505.0293,19898.91992,19454.33008,19666.17969,2.03
06/08/2012,20052.5,20300.0293,19966.11914,20136.11914,2.39
13/08/2012,20188.48047,20299.7207,19919.56055,20116.07031,-0.10
20/08/2012,20080.32031,20141.16016,19840.18945,19880.0293,-1.17
27/08/2012,19939.53906,19939.53906,19450.76953,19482.57031,-2.00
03/09/2012,19414.61914,19829.01953,19076.78906,19802.16016,1.64
10/09/2012,19876.41016,20648.09961,19658.71094,20629.7793,4.18
17/09/2012,20758.49023,20895.60938,20568.11914,20734.93945,0.51
24/09/2012,20611.09961,20889.90039,20485.08008,20840.38086,0.51
01/10/2012,20840.38086,21021.24023,20799.82031,21012.38086,0.83
08/10/2012,20979.5293,21236.57031,20767.35938,21136.42969,0.59
15/10/2012,21137.60938,21606.32031,21076.94922,21551.75977,1.96
22/10/2012,21440.00977,21847.69922,21431.24023,21545.57031,-0.03
29/10/2012,21478.11914,22149.69922,21338.65039,22111.33008,2.63
05/11/2012,22044.21094,22141.13086,21330.33984,21384.38086,-3.29
12/11/2012,21367.57031,21462.44922,21098.41016,21159.00977,-1.05
19/11/2012,21209.94922,21924.06055,21136.32031,21913.98047,3.57
26/11/2012,21986.35938,22091.60938,21629.58008,22030.39063,0.53
03/12/2012,22070.43945,22371.40039,21687.88086,22191.16992,0.73
10/12/2012,22377.56055,22636.42969,22235.75977,22605.98047,1.87
17/12/2012,22590.75977,22683.7207,22423.16016,22506.28906,-0.44
24/12/2012,22494.71094,22718.83008,22494.71094,22666.58984,0.71
31/12/2012,22584.43945,23400.74023,22566.89063,23331.08984,2.93
07/01/2013,23345.19922,23486.59961,23088.40039,23264.07031,-0.29
14/01/2013,23326.82031,23606.5,23203.24023,23601.7793,1.45
21/01/2013,23565.96094,23710.86914,23481.36914,23580.42969,-0.09
28/01/2013,23621.94922,23916.16016,23571.30078,23721.83984,0.60
04/02/2013,23866.80078,23944.74023,23101.08984,23215.16016,-2.14
11/02/2013,23215.16016,23469.25977,23215.16016,23444.56055,0.99
18/02/2013,23477.49023,23477.49023,22674.58984,22782.43945,-2.82
25/02/2013,22852.89063,23031.68945,22445.33984,22880.2207,0.43
04/03/2013,22866.50977,23220.51953,22466.08008,23091.94922,0.93
11/03/2013,23131.43945,23262.01953,22305.53906,22533.10938,-2.42
18/03/2013,22185.32031,22403.78906,21975.90039,22115.30078,-1.85
25/03/2013,22327.5293,22529.36914,22088.56055,22299.63086,0.83
01/04/2013,22299.63086,22527.11914,21703.2793,21726.90039,-2.57
08/04/2013,21733.7793,22251.61914,21612.05078,22089.05078,1.67
15/04/2013,21998.74023,22016.9707,21423.25,22013.57031,-0.34
22/04/2013,22038.13086,22690.33008,21747.4707,22547.71094,2.43
29/04/2013,22567.63086,22886.16992,22488.65039,22689.96094,0.63
06/05/2013,22967.7793,23353.67969,22855.58008,23321.2207,2.78
13/05/2013,23245.58008,23245.58008,22878.64063,23082.67969,-1.02
20/05/2013,23348.74023,23512.41992,22470.5293,22618.66992,-2.01
27/05/2013,22571.63086,22942.15039,22290.7207,22392.16016,-1.00
03/06/2013,22301.67969,22564.17969,21506.33008,21575.25977,-3.65
10/06/2013,21592.90039,21723.85938,20652.75,20969.14063,-2.81
17/06/2013,21007.2793,21272.75,19969.98047,20263.31055,-3.37
24/06/2013,20023.43945,20818.34961,19426.35938,20803.28906,2.66
01/07/2013,20803.28906,21004.56055,20119.56055,20854.66992,0.25
08/07/2013,20598.21094,21522.15039,20244.07031,21277.2793,2.03
15/07/2013,21278.61914,21460.96094,21205.59961,21362.41992,0.40
22/07/2013,21498.96094,22034.38086,21283.83008,21968.94922,2.84
29/07/2013,21896.11914,22291.41016,21749.68945,22190.9707,1.01
05/08/2013,22273.82031,22273.82031,21571.15039,21807.56055,-1.73
12/08/2013,21796.46094,22695.99023,21735.06055,22517.81055,3.26
19/08/2013,22432.86914,22551.26953,21538.18945,21863.50977,-2.91
26/08/2013,21943.40039,22116,21465.7207,21731.36914,-0.60
02/09/2013,21948.7207,22699.58984,21948.7207,22621.2207,4.09
09/09/2013,22770.25,23120.46094,22680.63086,22915.2793,1.30
16/09/2013,23210.35938,23554.33984,23080.58984,23502.50977,2.56
23/09/2013,23414.98047,23466.66992,23043.89063,23207.03906,-1.26
