Date,Open,High,Low,Close,% Change DJIA
20/10/2014,16373.15039,16811.71094,16260.54004,16805.41016,2.5946
27/10/2014,16796.09961,17395.53906,16729.83008,17390.51953,3.4817
03/11/2014,17390.90039,17575.33008,17278.35938,17573.92969,1.0547
10/11/2014,17568.98047,17705.48047,17536.16992,17634.74023,0.3460
17/11/2014,17631.84961,17894.83008,17603.89063,17810.06055,0.9942
24/11/2014,17812.63086,17893.41992,17790.89063,17828.24023,0.1021
01/12/2014,17827.26953,17991.18945,17726.55078,17958.78906,0.7323
08/12/2014,17954.93945,17960.56055,17280.83008,17280.83008,-3.7751
15/12/2014,17285.74023,17874.0293,17067.58984,17804.80078,3.0321
22/12/2014,17812.25,18103.44922,17812.25,18053.71094,1.3980
29/12/2014,18046.58008,18073.03906,17731.30078,17832.99023,-1.2226
05/01/2015,17821.30078,17916.03906,17262.36914,17737.36914,-0.5362
12/01/2015,17742.05078,17923.00977,17243.55078,17511.57031,-1.2730
19/01/2015,17516.96094,17840.89063,17346.73047,17672.59961,0.9196
26/01/2015,17668.10938,17696.35938,17136.30078,17164.94922,-2.8725
02/02/2015,17169.99023,17951.08984,17037.75977,17824.28906,3.8412
09/02/2015,17821.49023,18037.41016,17685.32031,18019.34961,1.0944
16/02/2015,18019.80078,18144.28906,17878.36914,18140.43945,0.6720
23/02/2015,18140.75977,18244.38086,18054.83984,18132.69922,-0.0427
02/03/2015,18134.05078,18288.63086,17825.15039,17856.7793,-1.5217
09/03/2015,17856.56055,18031.03906,17620.49023,17749.31055,-0.6018
16/03/2015,17751.24023,18197.28906,17697.51953,18127.65039,2.1316
23/03/2015,18136.73047,18205.92969,17579.26953,17712.66016,-2.2893
30/03/2015,17727.48047,18008.64063,17585.00977,17763.24023,0.2856
06/04/2015,17755.5,18066.75977,17646.80078,18057.65039,1.6574
13/04/2015,18052.32031,18169.25977,17748.5293,17826.30078,-1.2812
20/04/2015,17841.17969,18133.0293,17841.17969,18080.14063,1.4240
27/04/2015,18097.89063,18175.56055,17774.89063,18024.06055,-0.3102
04/05/2015,18026.01953,18205.23047,17733.11914,18191.10938,0.9268
11/05/2015,18187.7793,18272.7207,17924.80078,18272.56055,0.4478
18/05/2015,18267.25,18351.35938,18217.14063,18232.01953,-0.2219
25/05/2015,18229.75,18229.75,17967.74023,18010.67969,-1.2140
01/06/2015,18017.82031,18168.08984,17822.90039,17849.46094,-0.8951
08/06/2015,17849.46094,18109.76953,17714.9707,17898.83984,0.2766
15/06/2015,17890.75977,18174.73047,17698.41992,18015.94922,0.6543
22/06/2015,18027.63086,18188.81055,17890.35938,17946.67969,-0.3845
29/06/2015,17936.74023,17936.74023,17576.5,17730.10938,-1.2067
06/07/2015,17728.08008,17797.49023,17465.67969,17760.41016,0.1709
13/07/2015,17787.26953,18131.60938,17787.26953,18086.44922,1.8358
20/07/2015,18085.91016,18137.11914,17553.73047,17568.5293,-2.8636
27/07/2015,17561.7793,17783.58984,17399.16992,17689.85938,0.6906
03/08/2015,17696.74023,17704.75977,17279.08008,17373.38086,-1.7890
10/08/2015,17375.17969,17629.13086,17125.81055,17477.40039,0.5987
17/08/2015,17472.66016,17568.40039,16459.55078,16459.75,-5.8227
24/08/2015,16459.75,16669.9707,15370.33008,16643.00977,1.1134
31/08/2015,16632.01953,16632.01953,15979.9502,16102.37988,-3.2484
07/09/2015,16109.92969,16664.65039,16109.92969,16433.08984,2.0538
14/09/2015,16450.85938,16933.42969,16330.87012,16384.58008,-0.2952
21/09/2015,16406.09961,16578.59961,16016.36035,16314.66992,-0.4267
28/09/2015,16313.25977,16472.76953,15942.37012,16472.36914,0.9666
05/10/2015,16502.09961,17110.88086,16502.09961,17084.49023,3.7160
12/10/2015,17082.28906,17220.01953,16887.66992,17215.9707,0.7696
19/10/2015,17209.42969,17679.36914,17129.18945,17646.69922,2.5019
26/10/2015,17649.57031,17799.96094,17540.57031,17663.53906,0.0954
02/11/2015,17672.61914,17977.84961,17655.01953,17910.33008,1.3972
09/11/2015,17900.7793,17900.7793,17238.89063,17245.24023,-3.7134
16/11/2015,17229.93945,17914.33984,17210.42969,17823.81055,3.3550
23/11/2015,17823.60938,17868.17969,17683.50977,17813.39063,-0.0585
30/11/2015,17802.83984,17901.58008,17425.56055,17847.63086,0.1922
07/12/2015,17845.49023,17845.49023,17230.5,17265.21094,-3.2633
14/12/2015,17277.10938,17796.75977,17124.31055,17128.55078,-0.7915
21/12/2015,17154.93945,17607.91992,17116.73047,17552.16992,2.4732
28/12/2015,17535.66016,17750.01953,17421.16016,17425.0293,-0.7244
04/01/2016,17405.48047,17405.48047,16314.57031,16346.4502,-6.1898
11/01/2016,16358.70996,16593.50977,15842.11035,15988.08008,-2.1923
18/01/2016,16009.4502,16171.95996,15450.55957,16093.50977,0.6594
25/01/2016,16086.45996,16466.30078,15863.71973,16466.30078,2.3164
01/02/2016,16453.63086,16510.98047,15960.4502,16204.96973,-1.5871
08/02/2016,16147.50977,16201.88965,15503.00977,15973.83984,-1.4263
15/02/2016,16012.38965,16511.83984,16012.38965,16391.99023,2.6177
22/02/2016,16417.13086,16795.98047,16165.86035,16639.9707,1.5128
29/02/2016,16634.15039,17062.38086,16510.40039,17006.76953,2.2043
07/03/2016,16991.28906,17220.08984,16821.85938,17213.31055,1.2145
14/03/2016,17207.49023,17620.58008,17120.34961,17602.30078,2.2598
21/03/2016,17589.69922,17648.93945,17399.00977,17515.73047,-0.4918
28/03/2016,17526.08008,17811.48047,17434.26953,17792.75,1.5815
04/04/2016,17799.39063,17806.38086,17484.23047,17576.96094,-1.2128
11/04/2016,17586.48047,17962.14063,17553.57031,17897.46094,1.8234
18/04/2016,17890.19922,18167.63086,17848.2207,18003.75,0.5939
25/04/2016,17990.93945,18084.66016,17651.98047,17773.64063,-1.2781
02/05/2016,17783.7793,17912.34961,17580.38086,17740.63086,-0.1857
09/05/2016,17743.84961,17934.60938,17512.48047,17535.32031,-1.1573
16/05/2016,17531.75977,17755.80078,17331.07031,17500.93945,-0.1961
23/05/2016,17507.03906,17891.71094,17480.05078,17873.2207,2.1272
30/05/2016,17891.5,17899.24023,17664.78906,17807.06055,-0.3702
06/06/2016,17825.68945,18016,17812.33984,17865.33984,0.3273
13/06/2016,17830.5,17893.2793,17471.28906,17675.16016,-1.0645
20/06/2016,17736.86914,18011.07031,17356.33984,17400.75,-1.5525
27/06/2016,17355.21094,18002.38086,17063.08008,17949.36914,3.1528
04/07/2016,17904.44922,18166.76953,17713.44922,18146.74023,1.0996
11/07/2016,18161.5293,18557.42969,18161.5293,18516.55078,2.0379
18/07/2016,18521.55078,18622.00977,18469.66992,18570.84961,0.2932
25/07/2016,18554.49023,18555.68945,18368.82031,18432.24023,-0.7464
01/08/2016,18434.5,18543.5293,18247.78906,18543.5293,0.6038
08/08/2016,18541.89063,18638.33984,18468.7793,18576.4707,0.1776
15/08/2016,18588.58984,18722.60938,18468.67969,18552.57031,-0.1287
22/08/2016,18535.85938,18631.59961,18335.33984,18395.40039,-0.8472
29/08/2016,18421.28906,18544.75977,18295.48047,18491.96094,0.5249
05/09/2016,18493.40039,18551.53906,18085.44922,18085.44922,-2.1983
12/09/2016,18028.94922,18358.68945,17992.21094,18123.80078,0.2121
19/09/2016,18154.82031,18449.88086,18093.05078,18261.44922,0.7595
26/09/2016,18217.75977,18369.61914,18052.16016,18308.15039,0.2557
03/10/2016,18279.59961,18319.73047,18116.25977,18240.49023,-0.3696
10/10/2016,18282.94922,18399.96094,17959.94922,18138.38086,-0.5598
17/10/2016,18135.84961,18252.19922,18049.76953,18145.71094,0.0404
24/10/2016,18197.14063,18275.03906,18062.30078,18161.18945,0.0853
31/10/2016,18176.59961,18193.67969,17883.56055,17888.2793,-1.5027
07/11/2016,17994.64063,18873.66016,17994.64063,18847.66016,5.3632
14/11/2016,18876.76953,18934.05078,18806.06055,18867.92969,0.1075
21/11/2016,18898.67969,19152.14063,18883.09961,19152.14063,1.5063
28/11/2016,19122.14063,19225.28906,19062.2207,19170.41992,0.0954
05/12/2016,19244.34961,19757.74023,19184.74023,19756.84961,3.0590
12/12/2016,19770.19922,19966.42969,19747.74023,19843.41016,0.4381
19/12/2016,19836.66016,19987.63086,19832.94922,19933.81055,0.4556
26/12/2016,19943.46094,19981.10938,19718.66992,19762.59961,-0.8589
02/01/2017,19872.85938,19999.63086,19775.92969,19963.80078,1.0181
