Date,Open,High,Low,Close,Volume
28/4/2011,1.36117,1.3612,1.3549,1.3609,0
29/4/2011,1.3564,1.3615,1.353,1.3565,0
2/5/2011,1.35083,1.35617,1.3478,1.3502,0
3/5/2011,1.3536,1.3623,1.3517,1.3531,0
4/5/2011,1.36638,1.3816,1.3647,1.36636,0
5/5/2011,1.379,1.3922,1.369,1.3786,0
6/5/2011,1.3702,1.37195,1.343,1.3706,0
9/5/2011,1.3385,1.3407,1.328,1.33867,0
10/5/2011,1.331,1.3332,1.326,1.3306,0
11/5/2011,1.3276,1.329,1.322,1.3277,0
12/5/2011,1.3261,1.3418,1.3257,1.3258,0
13/5/2011,1.3353,1.3398,1.3328,1.33506,0
16/5/2011,1.3324,1.341,1.3317,1.3332,0
17/5/2011,1.3385,1.34528,1.335,1.33883,0
18/5/2011,1.3409,1.3454,1.3387,1.34115,0
19/5/2011,1.3408,1.3436,1.334,1.3409,0
20/5/2011,1.341,1.34312,1.329,1.3412,0
23/5/2011,1.3274,1.3362,1.326,1.3271,0
24/5/2011,1.335,1.337,1.331,1.33576,0
25/5/2011,1.3352,1.34256,1.3339,1.3352,0
26/5/2011,1.3364,1.3414,1.329,1.3363,0
27/5/2011,1.3299,1.3365,1.3282,1.3297,0
30/5/2011,1.3351,1.3366,1.333,1.3351,0
31/5/2011,1.3376,1.3514,1.3357,1.3377,0
1/6/2011,1.35038,1.35038,1.3394,1.3504,0
2/6/2011,1.3488,1.3589,1.3472,1.3478,0
3/6/2011,1.35724,1.3671,1.354,1.3564,0
6/6/2011,1.3629,1.36374,1.357,1.3631,0
7/6/2011,1.3583,1.3721,1.3577,1.3587,0
8/6/2011,1.37,1.3801,1.3689,1.3699,0
9/6/2011,1.3711,1.3831,1.3644,1.3715,0
10/6/2011,1.36563,1.3682,1.358,1.3651,0
13/6/2011,1.36025,1.36162,1.356,1.3598,0
14/6/2011,1.3591,1.3604,1.352,1.3588,0
15/6/2011,1.3514,1.352,1.337,1.351,0
16/6/2011,1.34075,1.344,1.338,1.3405,0
17/6/2011,1.3438,1.349,1.341,1.3443,0
20/6/2011,1.3459,1.3549,1.3449,1.3459,0
21/6/2011,1.35176,1.3594,1.3509,1.3515,0
22/6/2011,1.3566,1.3591,1.353,1.3568,0
23/6/2011,1.35664,1.3575,1.349,1.3564,0
24/6/2011,1.3539,1.3545,1.343,1.3539,0
27/6/2011,1.3527,1.3686,1.3514,1.3527,0
28/6/2011,1.3683,1.3684,1.3618,1.3679,0
29/6/2011,1.3619,1.3632,1.35,1.362,0
30/6/2011,1.3536,1.3544,1.3466,1.3542,0
1/7/2011,1.3525,1.35574,1.348,1.3526,0
4/7/2011,1.3489,1.3558,1.3489,1.3488,0
5/7/2011,1.354,1.35624,1.35,1.35428,0
6/7/2011,1.3488,1.35076,1.337,1.3489,0
7/7/2011,1.3397,1.3399,1.3236,1.3397,0
8/7/2011,1.3335,1.3362,1.322,1.333,0
11/7/2011,1.3244,1.3293,1.313,1.3244,0
12/7/2011,1.31946,1.3218,1.312,1.3194,0
13/7/2011,1.319,1.3204,1.311,1.3191,0
14/7/2011,1.3196,1.3256,1.317,1.3202,0
15/7/2011,1.3196,1.32975,1.3178,1.3196,0
18/7/2011,1.326,1.32897,1.321,1.3259,0
19/7/2011,1.3291,1.3302,1.322,1.3291,0
20/7/2011,1.3186,1.3244,1.3173,1.319,0
21/7/2011,1.3236,1.33085,1.3206,1.3245,0
22/7/2011,1.3298,1.3313,1.32,1.3296,0
25/7/2011,1.3261,1.33033,1.32,1.3263,0
26/7/2011,1.3245,1.32862,1.319,1.324,0
27/7/2011,1.3228,1.3254,1.301,1.3235,0
28/7/2011,1.3019,1.30293,1.292,1.3021,0
29/7/2011,1.3022,1.3125,1.3,1.30298,0
1/8/2011,1.3031,1.3077,1.2944,1.30355,0
2/8/2011,1.299,1.3153,1.296,1.2993,0
3/8/2011,1.3185,1.3367,1.3172,1.3185,0
4/8/2011,1.3326,1.3471,1.3325,1.3325,0
5/8/2011,1.3487,1.3639,1.3442,1.3482,0
8/8/2011,1.3762,1.3907,1.3662,1.3765,0
9/8/2011,1.3986,1.4253,1.391,1.3995,0
10/8/2011,1.3842,1.3937,1.3826,1.3846,0
11/8/2011,1.3936,1.4007,1.3824,1.394,0
12/8/2011,1.3758,1.3832,1.3729,1.3752,0
15/8/2011,1.3744,1.3815,1.3694,1.3743,0
16/8/2011,1.3765,1.3816,1.372,1.376,0
17/8/2011,1.374,1.3765,1.364,1.3738,0
18/8/2011,1.3686,1.3801,1.3656,1.3689,0
19/8/2011,1.3795,1.3863,1.3762,1.3792,0
22/8/2011,1.38352,1.385,1.376,1.3834,0
23/8/2011,1.38135,1.3827,1.37,1.3805,0
24/8/2011,1.3717,1.379,1.3714,1.3715,0
25/8/2011,1.3775,1.3823,1.371,1.377,0
26/8/2011,1.3762,1.37723,1.3608,1.3763,0
29/8/2011,1.3695,1.3709,1.3622,1.3701,0
30/8/2011,1.3596,1.36149,1.35,1.3596,0
31/8/2011,1.3514,1.354,1.3439,1.3515,0
1/9/2011,1.3443,1.3465,1.325,1.3441,0
2/9/2011,1.33,1.3353,1.329,1.3297,0
5/9/2011,1.3341,1.3387,1.3333,1.3336,0
6/9/2011,1.3366,1.3434,1.329,1.3371,0
7/9/2011,1.3343,1.3345,1.3202,1.3338,0
8/9/2011,1.3224,1.3294,1.3104,1.3224,0
9/9/2011,1.31,1.3141,1.3035,1.3104,0
12/9/2011,1.3029,1.3229,1.3028,1.3034,0
13/9/2011,1.3193,1.32671,1.317,1.3192,0
14/9/2011,1.3261,1.3414,1.3206,1.3254,0
15/9/2011,1.33744,1.3473,1.3354,1.3373,0
16/9/2011,1.3421,1.34484,1.327,1.34276,0
19/9/2011,1.3282,1.338,1.3274,1.3287,0
20/9/2011,1.3395,1.3395,1.329,1.3402,0
21/9/2011,1.3355,1.3448,1.33,1.3355,0
22/9/2011,1.3498,1.3781,1.3474,1.3499,0
