Date,Open,High,Low,Close,Change
03/11/2008,98.540001,110.393997,96.809998,99.001999,-0.0051
10/11/2008,98.949997,99.457001,90.099998,96.220001,0.0281
17/11/2008,96.230003,97.529999,93.559998,95.970001,0.0026
24/11/2008,95.879997,97.349998,94.699997,95.339996,0.0066
01/12/2008,95.32,95.389999,91.650002,92.779999,0.0269
08/12/2008,110.089996,110.349998,88.860001,90.699997,0.0224
15/12/2008,90.720001,91.300003,87.18,89.529999,0.0129
22/12/2008,89.519997,90.970001,89.519997,90.620003,-0.0122
29/12/2008,90.629997,92.370003,87.559998,92.057999,-0.0159
05/01/2009,92.050003,94.566002,89.900002,90.129997,0.0209
12/01/2009,90.126999,91.269997,88.529999,91.190002,-0.0118
19/01/2009,91.195999,91.230003,87.279999,88.490997,0.0296
26/01/2009,88.513,90.580002,88.440002,89.690002,-0.0135
02/02/2009,89.679001,92.360001,88.589996,92.080002,-0.0266
09/02/2009,92.029999,92.139999,89.741997,91.489998,0.0064
16/02/2009,91.455002,94.43,91.440002,93.450996,-0.0214
23/02/2009,93.450996,98.703003,92.760002,97.209999,-0.0402
02/03/2009,97.209999,99.660004,96.578003,97.919998,-0.0073
09/03/2009,97.955002,99.160004,95,98.083,-0.0017
16/03/2009,98.080002,98.949997,93.612999,95.980003,0.0214
23/03/2009,95.963997,98.847,95.68,98.160004,-0.0227
30/03/2009,98.18,100.512001,96.054001,100.459,-0.0234
06/04/2009,100.440002,101.426003,99.394997,100.352997,0.0011
13/04/2009,100.339996,100.699997,98.160004,99.260002,0.0109
20/04/2009,99.265999,99.379997,96.640999,96.699997,0.0258
27/04/2009,96.699997,99.523003,95.639999,99,-0.0238
04/05/2009,99.43,99.660004,97.949997,98.639999,0.0036
11/05/2009,98.639999,98.805,94.669998,95.124001,0.0356
18/05/2009,95.125999,96.670998,93.860001,94.68,0.0047
25/05/2009,94.68,97.221001,94.419998,95.311996,-0.0067
01/06/2009,95.317001,98.870003,94.459999,98.809998,-0.0367
08/06/2009,98.769997,98.849998,97.099998,98.422997,0.0039
15/06/2009,98.410004,98.560997,95.510002,96.124001,0.0234
22/06/2009,96.120003,96.550003,94.888,95.348,0.0081
29/06/2009,95.352997,96.953003,95.160004,95.940002,-0.0062
06/07/2009,95.952003,95.952003,91.861,92.399002,0.0369
13/07/2009,92.400002,94.440002,91.779999,94.339996,-0.0210
20/07/2009,94.199997,95.129997,93.529999,94.712997,-0.0040
27/07/2009,95.147003,95.809998,94.344002,94.638,0.0008
03/08/2009,95.199997,97.777,94.790001,97.349998,-0.0287
10/08/2009,97,97.010002,94.436996,94.669998,0.0275
17/08/2009,94.370003,94.940002,93.400002,94.584,0.0009
24/08/2009,94.419998,94.456001,93.32,93.385002,0.0127
31/08/2009,92.949997,93.230003,92.110001,93.160004,0.0024
07/09/2009,92.989998,93.013,90.216003,90.370003,0.0299
14/09/2009,90.847,91.510002,90.769997,91.379997,-0.0112
21/09/2009,92.010002,92.053001,88.32,88.730003,0.0290
28/09/2009,89.666,90.221001,89.458,89.669998,-0.0106
05/10/2009,89.510002,89.93,88.480003,89.910004,-0.0027
12/10/2009,89.709999,91.300003,89.389999,90.943001,-0.0115
19/10/2009,90.660004,92.179001,90.629997,92.110001,-0.0128
26/10/2009,92.089996,92.32,89.18,89.709999,0.0261
02/11/2009,89.722,91.228996,89.400002,89.839996,-0.0014
09/11/2009,89.860001,90.555,89.292,89.650002,0.0021
16/11/2009,89.599998,89.702003,88.599998,88.860001,0.0088
23/11/2009,88.889999,89.164001,84.889999,86.620003,0.0252
30/11/2009,86.610001,90.731003,85.870003,90.040001,-0.0395
07/12/2009,90.059998,90.172997,87.370003,89.239998,0.0089
14/12/2009,89.278999,90.848,88.330002,90.43,-0.0133
21/12/2009,90.379997,91.860001,90.25,91.440002,-0.0112
28/12/2009,91.454002,93.139999,91.419998,92.699997,-0.0138
04/01/2010,92.760002,93.735001,91.282997,92.294998,0.0044
11/01/2010,92.378998,92.629997,90.489998,90.856003,0.0156
18/01/2010,90.829002,91.858002,89.5,89.980003,0.0096
25/01/2010,89.980003,90.878998,89.133003,90.230003,-0.0028
01/02/2010,90.260002,91.25,88.550003,89.249001,0.0109
08/02/2010,89.260002,90.378998,89.139999,90.089996,-0.0094
15/02/2010,90.068001,92.120003,89.709999,91.602997,-0.0168
22/02/2010,91.628998,91.860001,88.550003,88.889999,0.0296
01/03/2010,88.844002,90.662003,88.129997,90.556999,-0.0188
08/03/2010,90.610001,91.049004,89.629997,90.699997,-0.0016
15/03/2010,90.703003,90.791,89.761002,90.445,0.0028
22/03/2010,90.439003,92.935997,89.867996,92.426003,-0.0219
29/03/2010,92.43,94.760002,92.116997,94.540001,-0.0229
05/04/2010,94.550003,94.588997,92.5,93.160004,0.0146
12/04/2010,93.120003,93.690002,91.82,91.900002,0.0135
19/04/2010,91.93,94.288002,91.589996,94.07,-0.0236
26/04/2010,94.080002,94.570999,92.832001,94,0.0007
03/05/2010,94.008003,94.963997,88.260002,92.040001,0.0209
10/05/2010,92.099998,93.585999,91.801003,92.346001,-0.0033
17/05/2010,92.332001,92.93,89.039001,90.188004,0.0234
24/05/2010,90.120003,91.396004,89.248001,90.980003,-0.0088
31/05/2010,90.940002,92.867996,90.529999,91.550003,-0.0063
07/06/2010,91.57,92.064003,90.855003,91.690002,-0.0015
14/06/2010,91.709999,92.075996,89.849998,90.400002,0.0141
21/06/2010,90.400002,91.452003,89.150002,89.362999,0.0115
28/06/2010,89.370003,89.445,86,87.739998,0.0182
05/07/2010,87.750999,88.800003,87.025497,88.660004,-0.0105
12/07/2010,88.649002,89.137001,85.82,86.540001,0.0239
19/07/2010,86.524002,87.779999,86.050003,87.529999,-0.0114
26/07/2010,87.510002,88.091003,85.998001,86.400002,0.0129
02/08/2010,86.379997,86.861,85.036003,85.833,0.0066
09/08/2010,85.344002,86.334,84.748001,86.073997,-0.0028
16/08/2010,86.140999,86.150002,84.879997,85.344002,0.0085
23/08/2010,85.550003,85.633003,83.619003,84.346001,0.0117
30/08/2010,85.498001,85.891998,83.732002,84.25,0.0011
06/09/2010,84.419998,84.482002,83.350998,83.93,0.0038
13/09/2010,84.334,85.910004,82.870003,85.848,-0.0229
20/09/2010,85.690002,85.787003,84.122002,84.510002,0.0156
27/09/2010,84.311996,84.379997,83.129997,83.57,0.0111
04/10/2010,83.349998,83.942001,81.750999,82.379997,0.0142
11/10/2010,81.802002,82.325996,80.860001,81.470001,0.0110
18/10/2010,81.370003,81.905998,80.883003,81.300003,0.0021
25/10/2010,81.32,81.972,80.449997,81.679001,-0.0047
01/11/2010,80.572998,81.467003,80.32,80.776001,0.0111
08/11/2010,81.168999,82.772003,80.519997,82.410004,-0.0202
15/11/2010,82.480003,83.669998,82.389999,83.540001,-0.0137
22/11/2010,83.463997,84.171997,82.790001,83.629997,-0.0011
29/11/2010,84.172997,84.389999,82.532997,83.749001,-0.0014
06/12/2010,82.769997,84.287003,82.32,83.816002,-0.0008
13/12/2010,83.968002,84.397003,82.830002,84.050003,-0.0028
20/12/2010,84.015999,84.102997,82.860001,83.019997,0.0123
27/12/2010,82.908997,82.963997,80.959999,81.480003,0.0185
03/01/2011,81.139999,83.657997,81.120003,83.300003,-0.0223
10/01/2011,83.069,83.483002,82.408997,82.762001,0.0065
17/01/2011,82.889,83.079002,82.009003,82.919998,-0.0019
24/01/2011,82.580002,83.158997,81.988998,82.885002,0.0004
31/01/2011,82.097,82.231003,81.349998,81.650002,0.0149
07/02/2011,82.220001,83.662003,81.767998,83.339996,-0.0207
14/02/2011,83.419998,83.955002,83.098999,83.290001,0.0006
21/02/2011,83.106003,83.401001,81.649002,82.046997,0.0149
28/02/2011,81.620003,82.910004,81.599998,82.366997,-0.0039
07/03/2011,82.349998,83.279999,81.780998,82.917999,-0.0067
14/03/2011,81.300003,82.370003,78.25,79.5,0.0412
21/03/2011,80.959999,81.365997,80.699997,81.014,-0.0190
28/03/2011,81.450996,84.690002,81.435997,83.360001,-0.0290
04/04/2011,84.219002,85.489998,83.849998,84.959999,-0.0192
11/04/2011,85.041,85.149002,82.959999,83.782997,0.0139
18/04/2011,83.150002,83.249001,81.599998,81.897003,0.0225
25/04/2011,81.889999,82.718002,81.116997,81.529999,0.0045
02/05/2011,81.230003,81.681,79.598,80.417,0.0137
09/05/2011,80.699997,81.310997,80.169998,81.040001,-0.0077
16/05/2011,80.809998,82.212997,80.660004,81.713997,-0.0083
23/05/2011,81.730003,82.18,80.709999,81.269997,0.0054
30/05/2011,80.833,81.748001,80.059998,80.970001,0.0037
06/06/2011,80.239998,80.387001,79.709999,80.290001,0.0084
13/06/2011,80.332001,81.036003,80.021004,80.577003,-0.0036
20/06/2011,80.055,80.769997,80.008003,80.440002,0.0017
27/06/2011,80.463997,81.176003,80.260002,80.599998,-0.0020
04/07/2011,80.848,81.459,80.5,81.230003,-0.0078
11/07/2011,80.650002,80.810997,78.502998,79.18,0.0252
18/07/2011,79.117996,79.299004,78.269997,78.584,0.0075
25/07/2011,78.379997,78.504997,77.010002,77.730003,0.0109
