Date,Open,High,Low,Close,% Change FTSE
14/09/2009,5011.5,5183.899902,4953.700195,5172.899902,3.22
21/09/2009,5172.899902,5189.899902,5073.399902,5082.200195,-1.75
28/09/2009,5082.200195,5190,4955,4988.700195,-1.84
05/10/2009,4988.700195,5172.799805,4976.899902,5161.899902,3.47
12/10/2009,5161.899902,5272.899902,5154.200195,5190.200195,0.55
19/10/2009,5190.200195,5299.600098,5166.5,5242.600098,1.01
26/10/2009,5242.600098,5281.100098,5024.399902,5044.600098,-3.78
02/11/2009,5044.600098,5159,4985.100098,5142.700195,1.94
09/11/2009,5142.700195,5304.899902,5142.700195,5296.399902,2.99
16/11/2009,5296.399902,5397,5224,5251.399902,-0.85
23/11/2009,5251.399902,5379.5,5103.799805,5245.700195,-0.11
30/11/2009,5245.700195,5373.899902,5190.700195,5322.399902,1.46
07/12/2009,5322.399902,5328.799805,5175.700195,5261.600098,-1.14
14/12/2009,5261.600098,5335.299805,5196.799805,5196.799805,-1.23
21/12/2009,5196.799805,5402.399902,5196.799805,5402.399902,3.96
28/12/2009,5402.399902,5445.200195,5390.399902,5412.899902,0.19
04/01/2010,5412.899902,5551.700195,5410.799805,5534.200195,2.24
11/01/2010,5534.200195,5600.5,5450.399902,5455.399902,-1.42
18/01/2010,5455.399902,5531.899902,5253,5303,-2.79
25/01/2010,5303,5330.600098,5145.700195,5188.5,-2.16
01/02/2010,5188.5,5305.399902,5033.799805,5060.899902,-2.46
08/02/2010,5060.899902,5207.700195,5033,5142.5,1.61
15/02/2010,5142.5,5366.100098,5142.5,5358.200195,4.19
22/02/2010,5358.200195,5395.5,5259.700195,5354.5,-0.07
01/03/2010,5354.5,5605.399902,5354.5,5599.799805,4.58
08/03/2010,5599.799805,5646.700195,5563.100098,5625.700195,0.46
15/03/2010,5625.700195,5691.200195,5588.200195,5650.100098,0.43
22/03/2010,5650.100098,5737.100098,5583.5,5703,0.94
29/03/2010,5703,5744.899902,5646.299805,5744.899902,0.73
05/04/2010,5744.899902,5790.399902,5684.5,5771,0.45
12/04/2010,5771,5833.700195,5726.399902,5744,-0.47
19/04/2010,5744,5797,5652.399902,5723.700195,-0.35
26/04/2010,5723.700195,5800.700195,5533.600098,5553.299805,-2.98
03/05/2010,5553.299805,5566,5045.299805,5123,-7.75
10/05/2010,5123,5436,5123,5262.899902,2.73
17/05/2010,5262.899902,5341.399902,4957.100098,5062.899902,-3.80
24/05/2010,5062.899902,5240.299805,4898.5,5188.399902,2.48
31/05/2010,5188.399902,5262.5,5063.200195,5126,-1.20
07/06/2010,5126,5184.399902,4984.700195,5163.700195,0.74
14/06/2010,5163.700195,5293.799805,5149.100098,5250.799805,1.69
21/06/2010,5250.799805,5331.5,5031.700195,5046.5,-3.89
28/06/2010,5046.5,5085.700195,4790,4838.100098,-4.13
05/07/2010,4838.100098,5150.600098,4821.100098,5132.899902,6.09
12/07/2010,5132.899902,5287.299805,5128.600098,5158.899902,0.51
19/07/2010,5158.899902,5328.5,5090.600098,5312.600098,2.98
26/07/2010,5312.600098,5411.5,5245.5,5258,-1.03
02/08/2010,5258,5416.799805,5258,5332.399902,1.41
