Date,Open,High,Low,Close,% Change AEX
09/03/2009,200.740005,216.279999,194.990005,211.740005,6.14
16/03/2009,215.960007,216.979996,206.929993,212.710007,0.46
23/03/2009,217.699997,226.770004,215.789993,221.729996,4.24
30/03/2009,216.179993,235.279999,211.110001,230.759995,4.07
06/04/2009,233.649994,235.960007,222.25,232.839996,0.9
13/04/2009,234.539993,244.979996,231.720001,243.809998,4.71
20/04/2009,242.289993,242.919998,228.190002,239.339996,-1.83
27/04/2009,235.160004,243.940002,231.229996,240.759995,0.59
04/05/2009,244.990005,263.75,244.619995,261.350006,8.55
11/05/2009,260.869995,260.869995,247.460007,252.919998,-3.23
18/05/2009,249.589996,267.149994,248.820007,260.140015,2.85
25/05/2009,261.109985,265.670013,255.059998,259.450012,-0.27
01/06/2009,265.23999,271.119995,262.23999,266.929993,2.88
08/06/2009,266.100006,269.829987,261.450012,265.480011,-0.54
15/06/2009,262.950012,263.140015,248.929993,257.160004,-3.13
22/06/2009,257.470001,257.839996,247.029999,254.429993,-1.06
29/06/2009,253.919998,261.440002,251.080002,253.699997,-0.29
06/07/2009,251.589996,252.710007,243.199997,243.199997,-4.14
13/07/2009,242.610001,267.690002,241.360001,266.399994,9.54
20/07/2009,268.73999,278.700012,267.529999,276.149994,3.66
27/07/2009,279.140015,285.23999,272.670013,283.170013,2.54
03/08/2009,283.630005,291.839996,283.190002,290.5,2.59
10/08/2009,289.570007,293.25,280.790009,288.019989,-0.85
17/08/2009,286.089996,295.709991,280.149994,294.48999,2.25
24/08/2009,297.100006,302.76001,294.670013,300.200012,1.94
31/08/2009,297.480011,298.929993,286.23999,293.160004,-2.35
07/09/2009,295.329987,309.200012,295.160004,308,5.06
14/09/2009,304.170013,315.480011,303.029999,313.630005,1.83
21/09/2009,313.540009,314.799988,305.630005,305.630005,-2.55
28/09/2009,304.940002,314.390015,296.5,299.299988,-2.07
05/10/2009,300.25,316.73999,298.309998,315.549988,5.43
12/10/2009,318.179993,328.51001,318.179993,322.309998,2.14
19/10/2009,323.75,328.470001,318.709991,320.140015,-0.67
26/10/2009,321.209991,321.899994,301.25,302.359985,-5.55
02/11/2009,302.109985,309.75,296.980011,307.140015,1.58
09/11/2009,310.5,320.059998,310.410004,317.369995,3.33
16/11/2009,320.73999,323.179993,309.399994,310.029999,-2.31
23/11/2009,312.730011,319.160004,300.540009,309.519989,-0.16
30/11/2009,311.049988,323.950012,305.179993,321.130005,3.75
07/12/2009,320.459991,322.339996,311.160004,320.140015,-0.31
14/12/2009,323.200012,329.059998,321.190002,324.630005,1.4
21/12/2009,326.290009,335.100006,325.440002,333.600006,2.76
28/12/2009,336.019989,338.220001,333.929993,335.329987,0.52
04/01/2010,336.959991,343.589996,336.959991,341.940002,1.97
11/01/2010,344.200012,345.559998,334.970001,337.98999,-1.16
18/01/2010,339.179993,342.399994,326.899994,329.480011,-2.52
25/01/2010,327.369995,332.070007,323.950012,327.899994,-0.48
