Date,Open,High,Low,Close,% Change ISEQ
03/10/2011,2503.189941,2570.27002,2414.22998,2562.73999,2.38
10/10/2011,2563.840088,2638.090088,2549.790039,2604.620117,1.63
17/10/2011,2604.620117,2653.709961,2560.02002,2629.560059,0.96
24/10/2011,2629.560059,2781.669922,2629.560059,2755.850098,4.80
31/10/2011,2759.47998,2759.47998,2582.75,2664.540039,-3.31
07/11/2011,2670.709961,2726.879883,2640.25,2697.110107,1.22
14/11/2011,2697.110107,2720.959961,2605.389893,2607.110107,-3.34
21/11/2011,2610.149902,2615.090088,2492.290039,2521.969971,-3.27
28/11/2011,2523.070068,2751.98999,2523.070068,2720.590088,7.88
05/12/2011,2724.120117,2775.030029,2686.72998,2741.290039,0.76
12/12/2011,2741.370117,2743.310059,2681.209961,2726.399902,-0.54
19/12/2011,2726.25,2885.399902,2723.73999,2865.350098,5.10
26/12/2011,2865.350098,2913.169922,2826.02002,2901.820068,1.27
02/01/2012,2902.620117,2960.52002,2882.709961,2889.870117,-0.41
09/01/2012,2891.540039,2994.330078,2891.540039,2929.439941,1.37
16/01/2012,2931.649902,3037.070068,2907.159912,3005.689941,2.60
23/01/2012,3005.689941,3053.22998,2956.860107,3007.540039,0.06
30/01/2012,3010.149902,3136.790039,2972.800049,3135.320068,4.25
06/02/2012,3136.370117,3142.110107,3092.639893,3101.840088,-1.07
13/02/2012,3102.659912,3204.070068,3084.870117,3175.860107,2.39
20/02/2012,3175.899902,3234.709961,3148.169922,3200.25,0.77
27/02/2012,3200.090088,3266.159912,3174.040039,3265.810059,2.05
05/03/2012,3269.040039,3282.139893,3099.689941,3266.850098,0.03
12/03/2012,3268.080078,3366.649902,3209.550049,3359.340088,2.83
19/03/2012,3359.340088,3369.330078,3224.51001,3264.51001,-2.82
26/03/2012,3264.51001,3298.820068,3221.070068,3254.810059,-0.30
02/04/2012,3254.810059,3290.850098,3187.560059,3202.469971,-1.61
09/04/2012,3203.139893,3210.040039,3129.909912,3180.219971,-0.69
16/04/2012,3178.330078,3257.01001,3155.649902,3232.639893,1.65
23/04/2012,3236.550049,3254.399902,3150.280029,3242.590088,0.31
30/04/2012,3242.51001,3290.560059,3161.860107,3162.959961,-2.46
07/05/2012,3161.199951,3164.370117,3073.080078,3157.649902,-0.17
14/05/2012,3157.649902,3157.649902,2989.580078,3014.26001,-4.54
21/05/2012,3016.199951,3093.949951,2968.689941,3091.870117,2.57
28/05/2012,3098.540039,3144.300049,3000.810059,3013.949951,-2.52
04/06/2012,3012.469971,3069.350098,2960.949951,3048.169922,1.14
11/06/2012,3048.169922,3101.610107,2985.52002,3069.580078,0.70
18/06/2012,3069.580078,3101.689941,3026.570068,3041.76001,-0.91
25/06/2012,3041.76001,3166.310059,3003.620117,3148.620117,3.51
02/07/2012,3148.620117,3227.580078,3146.02002,3173.149902,0.78
09/07/2012,3173.149902,3201.550049,3145.76001,3183.969971,0.34
16/07/2012,3184.129883,3248.47998,3182.790039,3206,0.69
