Date,Open,High,Low,Close,% Change OMX
28/06/2010,1025.670044,1028.410034,975.48999,983.299988,-3.73
05/07/2010,988.690002,1029.349976,979.109985,1028.119995,4.56
12/07/2010,1031.869995,1067.550049,1020.280029,1034.689941,0.64
19/07/2010,1032.540039,1067.290039,1016.539978,1057.77002,2.23
26/07/2010,1065.050049,1068.699951,1037.719971,1047.26001,-0.99
02/08/2010,1052.109985,1083.900024,1051.589966,1065.219971,1.71
09/08/2010,1072.180054,1077.780029,1021.940002,1036.449951,-2.70
16/08/2010,1042.050049,1061.630005,1018.349976,1020.630005,-1.53
23/08/2010,1022.669983,1029.930054,982.52002,1018.890015,-0.17
30/08/2010,1022.48999,1057.709961,993.460022,1047.98999,2.86
06/09/2010,1052.97998,1072.339966,1040.069946,1068.890015,1.99
13/09/2010,1074.319946,1089.680054,1071.180054,1081.97998,1.22
20/09/2010,1080.77002,1099.869995,1066.859985,1095.589966,1.26
27/09/2010,1097.410034,1100.72998,1077.829956,1082.369995,-1.21
04/10/2010,1082.849976,1096.880005,1061.97998,1085.51001,0.29
11/10/2010,1085.939941,1109.310059,1077.140015,1094.52002,0.83
18/10/2010,1091.619995,1119.189941,1087.150024,1109.959961,1.41
25/10/2010,1117.26001,1117.650024,1079.599976,1089.319946,-1.86
01/11/2010,1094.619995,1114.969971,1083.589966,1098.689941,0.86
08/11/2010,1105.359985,1116.099976,1086.030029,1094.550049,-0.38
15/11/2010,1089.47998,1110.550049,1078.27002,1110.550049,1.46
22/11/2010,1117.699951,1119.069946,1083.160034,1110.109985,-0.04
29/11/2010,1114.98999,1149.800049,1096.72998,1149.560059,3.55
06/12/2010,1147.160034,1157.219971,1131.119995,1139.160034,-0.90
13/12/2010,1141.25,1159.099976,1141.23999,1153.130005,1.23
20/12/2010,1153.089966,1169.459961,1149.130005,1160.550049,0.64
27/12/2010,1159.599976,1165.900024,1154.810059,1155.569946,-0.43
03/01/2011,1161.579956,1181.560059,1149.209961,1159.449951,0.34
10/01/2011,1158.73999,1179.839966,1149.380005,1173.280029,1.19
17/01/2011,1173.560059,1182.560059,1136.420044,1150.839966,-1.91
24/01/2011,1157.369995,1176.290039,1138.410034,1151.800049,0.08
31/01/2011,1148.550049,1156.199951,1120.680054,1139.310059,-1.08
07/02/2011,1143.01001,1148.660034,1117.900024,1139.969971,0.06
14/02/2011,1143.890015,1146.079956,1103.97998,1117.22998,-1.99
21/02/2011,1116.599976,1124.72998,1085.060059,1116.790039,-0.04
28/02/2011,1117.97998,1134.51001,1103.02002,1112.380005,-0.39
07/03/2011,1111.469971,1136.23999,1101.439941,1102.219971,-0.91
14/03/2011,1092.469971,1101.869995,1045.579956,1091.369995,-0.98
21/03/2011,1104.069946,1129.839966,1098.180054,1127.099976,3.27
28/03/2011,1125.47998,1146.699951,1122.25,1145.599976,1.64
04/04/2011,1145.73999,1157.609985,1141.920044,1151.369995,0.50
11/04/2011,1146.97998,1152.540039,1121.439941,1123.810059,-2.39
18/04/2011,1123.880005,1144.619995,1105.01001,1141.130005,1.54
25/04/2011,1141.130005,1163.060059,1139.040039,1162.839966,1.90
02/05/2011,1167.099976,1167.099976,1139.890015,1157.829956,-0.43
09/05/2011,1155.550049,1175.079956,1150.189941,1166.540039,0.75
16/05/2011,1161.359985,1173.47998,1157,1167.069946,0.05
23/05/2011,1154.380005,1157.52002,1126.050049,1149.119995,-1.54
30/05/2011,1148.619995,1161.48999,1129.339966,1133.670044,-1.34
06/06/2011,1133.670044,1137.73999,1091.51001,1095.689941,-3.35
13/06/2011,1097.089966,1111.530029,1064.670044,1083.439941,-1.12
20/06/2011,1071.219971,1095.27002,1053.050049,1055.23999,-2.60
27/06/2011,1049.869995,1119.900024,1048.469971,1118.050049,5.95
04/07/2011,1119.410034,1142.109985,1115.160034,1120.579956,0.23
11/07/2011,1114.599976,1116.839966,1075.47998,1079.640015,-3.65
18/07/2011,1076.459961,1100.51001,1052.069946,1091,1.05
25/07/2011,1082.930054,1092.130005,1053.310059,1065.969971,-2.29
